Sample Name,Host Genome,Sample Type,Nucleotide Type,Collection Date,Collection Location,Known Organism,Water Control,Host Sex,Age at infection (days),Biosample,temperature,Diseases and Conditions,Infection Class,Time
SRR12515927,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,180,25-35,Zika,Definite,
SRR12515928,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,179,25-35,Zika,Definite,
SRR12515929,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,178,25-35,Zika,Definite,
SRR12515930,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,177,25-35,Zika,Definite,
SRR12515931,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,176,25-35,Zika,Definite,
SRR12515932,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,175,25-35,Zika,Definite,
SRR12515933,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,174,25-35,Zika,Definite,
SRR12515934,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,173,25-35,Zika,Definite,
SRR12515935,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,172,25-35,Zika,Definite,
SRR12515936,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,171,25-35,Zika,Definite,
SRR12515937,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,18,25,Zika,Definite,
SRR12515938,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,170,25-35,Zika,Definite,
SRR12515939,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,169,25-35,Zika,Definite,
SRR12515940,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,168,25-35,Zika,Definite,
SRR12515941,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,167,25-35,Zika,Definite,
SRR12515942,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,166,25-35,Zika,Definite,
SRR12515943,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,165,25-35,Zika,Definite,
SRR12515944,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,164,25-35,Zika,Definite,
SRR12515945,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,163,25-35,Zika,Definite,
SRR12515946,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,162,25-35,Zika,Definite,
SRR12515947,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,161,25-35,Zika,Definite,
SRR12515948,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,17,25,Zika,Definite,
SRR12515949,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,160,25-35,Zika,Definite,
SRR12515950,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,159,25-35,Zika,Definite,
SRR12515951,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,158,25-35,Zika,Definite,
SRR12515952,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,157,25-35,Zika,Definite,
SRR12515953,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,156,25-35,Zika,Definite,
SRR12515954,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,155,25-35,Zika,Definite,
SRR12515955,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,154,25-35,Zika,Definite,
SRR12515956,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,153,25-35,Zika,Definite,
SRR12515957,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,152,25-35,Zika,Definite,
SRR12515958,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,151,25-35,Zika,Definite,
SRR12515959,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,16,25,Zika,Definite,
SRR12515960,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,150,25-35,Zika,Definite,
SRR12515961,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,149,25-35,Zika,Definite,
SRR12515962,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,148,35,Zika,Definite,
SRR12515963,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,147,35,Zika,Definite,
SRR12515964,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,146,35,Zika,Definite,
SRR12515965,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,145,35,Zika,Definite,
SRR12515966,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,144,35,Zika,Definite,
SRR12515967,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,143,35,Zika,Definite,
SRR12515968,Mosquito,Midgut,RNA,03/16/21,"Poza Rica, Mexico","Aedes aegypti, Aedes albopictus",No,Female,5,142,35,Zika,Definite,
